unit_id,history_need,already_available_in_current_context,historical_evidence_quote,reason,user_id,scenario_id,seed,turn_index,first_attempt_citation_verbatim,first_attempt_status,verified_result_available_after_retries,label_in_verified_result,has_evidence_quote,quote_in_any_deployable_memory,quote_in_pm_off_memory,quote_in_rule_off_memory,quote_in_fixed_off_memory
state_8a71cfc31cc686475108,helpful,False,"Andrew is feeling down due to negative feedback on his thesis, issues with his partner Jenny, and feeling unsupported by friends.","This fact from session p17_conv_3 provides relevant context about Andrew's emotional state related to his thesis and personal relationships, which would help tailor emotional support for his current struggle with thesis criticism and confidence.",p17,p17:1,202,8,True,done,True,helpful,True,True,False,False,False
state_2bdd45dd3459519fd9ca,helpful,False,Andrew feels hurt and questions his friendships after confronting his friends about being excluded from social activities.,"Knowing that Andrew has recently confronted friends about exclusion and is questioning his friendships would help tailor emotional support to address his current apprehension about fitting in and making new friends, but the current conversation already provides his feelings of nervousness and excitement about joining a new club, so this prior fact is helpful but not strictly necessary.",p17,p17:3,303,3,True,done,True,helpful,True,True,False,False,False
state_08355a73f98c48dcc4b8,helpful,False,"The seeker is stressed and anxious because her parents showed up unannounced and are asking overwhelming questions about her life choices, which affects her mental health negatively.","The historical context about the seeker's parents showing up unannounced and causing stress and anxiety provides helpful background to better understand the current emotional state and concerns about balancing expectations and well-being, even though the current conversation already mentions the recent heart-to-heart and emotional exhaustion.",p1,p1:1,303,3,True,done,True,helpful,True,True,False,False,False
state_c620be32d830ea262fb8,helpful,False,They were saying I'm too obsessed with my new club and that I'm neglecting them. It was painful to hear.,"The seeker mentions being encouraged by club leaders to apply for a leadership position, which relates to his involvement in the club. Prior sessions reveal that the seeker has been dealing with friends feeling neglected due to his club involvement, which adds context to his current concerns about balancing responsibilities and social relationships. This background would help provide more tailored emotional support and guidance regarding his fears and motivations.",p3,p3:1,202,8,True,done,True,helpful,True,True,False,False,False
state_879a9538d79aa5aa4335,helpful,False,The seeker is concerned about her child's academic struggles despite receiving rewards for hard work in a hybrid learning environment.,Knowing that the seeker has previously expressed concerns about her child's academic struggles and the hybrid learning environment would help tailor emotional support and provide more relevant strategies for balancing support and self-care.,p14,p14:3,202,8,False,invalid,False,unverified,True,False,False,False,False
state_1679d891d5425f37ea08,helpful,False,"Jessica is anxious due to discovering a significant discrepancy in her business accounts and is questioning the stability of her business, which also impacts her personal life and sleep issues.",Knowing about the previous significant discrepancy in Jessica's business accounts and its impact on her anxiety and sleep would help provide more tailored emotional support regarding her current feelings of being overwhelmed and intimidated by restructuring her financial management system and working with a financial consultant.,p7,p7:1,101,8,True,done,True,helpful,True,True,False,False,False
state_6a5b6158173307a3f320,helpful,False,"Well, Bob just got a full-time job, which is a huge relief financially. But I’m still feeling quite overwhelmed.","The historical context reveals that Bob recently got a full-time job, which is a significant financial relief for Emily. This fact is helpful to understand the current mixed feelings about financial relief and the husband's absence, but it is not explicitly mentioned in the current conversation.",p10,p10:1,101,3,True,done,True,helpful,True,True,False,True,True
state_fda991db1f28f1eb18dd,helpful,False,"Amanda is struggling with anxiety due to multiple stressors, including a recent health scare, work promotion, family issues, and unresolved feelings about her ex's attempt to reconnect.","The current conversation mentions the seeker feeling overwhelmed, anxious, and experiencing physical symptoms due to stress related to a major project at work. The historical context reveals that Amanda has been dealing with multiple stressors including a recent health scare, family illness, unresolved feelings about her ex, and work promotion. This broader context would help provide more tailored emotional support addressing the multiple sources of her anxiety and stress, beyond just the current project-related stress.",p16,p16:1,303,3,True,done,True,helpful,True,True,False,False,False
state_50be8a1077f0f5f4c89c,helpful,False,"The seeker, Jane, experienced anxiety and anger when her ex, Jack, attempted to contact her, which resurfaced feelings from their past toxic relationship and is overwhelmed by work and financial stress.","This fact provides context about the seeker's prior emotional response to Jack's contact and the resurfacing of feelings from a toxic relationship, which can help tailor emotional support to her current feelings of anxiety, sadness, and anger after seeing Jack again.",p6,p6:1,101,3,True,done,True,helpful,True,True,False,False,False
state_5ae9af83c33531f10b56,helpful,False,The seeker stays grounded through journaling and occasional hikes.,"Knowing that the seeker uses journaling and hiking as coping mechanisms would help tailor emotional support to acknowledge and encourage these positive strategies, enhancing the relevance of the response.",p8,p8:1,303,3,True,done,True,helpful,True,False,False,False,False
state_0cce0d28fc8509b6de6c,helpful,False,The seeker has tried meditation and mindfulness to cope with challenges.,"Knowing that the seeker has previously tried meditation and mindfulness to cope with challenges would help tailor suggestions and emotional support related to stress management and maintaining self-care practices, which are relevant to the current concern about workload interfering with mindfulness and self-care.",p8,p8:1,101,8,True,done,True,helpful,True,False,False,False,False
state_2c520491a6f996b397f7,helpful,False,"The seeker, Amanda, is struggling with sadness and a sense of relief after breaking up with her partner of three years, Bill, due to misaligned life goals.","This fact provides useful context about the breakup with Bill after a three-year relationship and the emotional complexity Amanda is experiencing, which can help tailor emotional support regarding her current feelings about Bill and their history.",p16,p16:2,202,8,True,done,True,helpful,True,True,False,False,False
state_13e7b8843fec2e014483,helpful,False,The seeker is concerned about their child's self-esteem issues at school.,"Knowing that the seeker has previously expressed concern about the child's self-esteem issues at school would help tailor emotional support to acknowledge ongoing worries and provide more empathetic, relevant guidance.",p14,p14:3,303,3,False,invalid,False,unverified,True,False,False,False,False
state_7d11611fe82cb51f423b,helpful,False,"The seeker is struggling with academic performance after a grade slip despite extra effort, while dealing with self-worth issues and feeling overwhelmed due to relationship strain with the professor and other pressures.","This fact from session p2_conv_13 provides useful context about the seeker's ongoing academic struggles and strained relationship with the professor, which would help tailor emotional support for the current anxiety about approaching the professor.",p2,p2:3,202,3,True,done,True,helpful,True,True,False,False,False
state_62da0a9ab0d6a08cd346,helpful,False,"Charlotte is overwhelmed by a falling out with a close friend who accused her of being distant, on top of ongoing work stress and long hours.",Knowing about Charlotte's past experience with a falling out with a close friend and ongoing work stress would help provide more tailored emotional support and guidance as she navigates new social opportunities and anxiety about making a good impression.,p12,p12:2,101,8,True,done,True,helpful,True,True,False,False,False
state_2c4f7dbe0401670397d1,helpful,False,"The seeker is dealing with feelings of nostalgia and regret after reconnecting with an old friend and reflecting on past decisions, while trying new hobbies like hiking to improve their mood.","This fact provides useful context about the seeker's emotional state and the role of hiking in their healing process, which can help tailor emotional support more effectively, though the current conversation already mentions hiking's positive impact.",p4,p4:1,202,3,True,done,True,helpful,True,True,False,False,False
state_5c9946e6069bc9dd39cc,helpful,False,"Anna is overwhelmed after her unexpected breakup with John, due to ongoing disagreements about their future plans which she felt were worsening.",Knowing that Anna recently experienced an unexpected breakup with John due to worsening disagreements about their future plans would help provide more tailored emotional support regarding her current feelings about the unexpected encounter and unresolved emotions.,p11,p11:2,303,8,True,done,True,helpful,True,True,False,False,False
state_6a349f4332e626fd84bb,helpful,False,"Charlotte's ex-partner, Alex, reached out to her recently.",Knowing that Alex reached out recently and the context of their past relationship would help provide more tailored emotional support regarding the seeker's current feelings of confusion and emotional drain.,p12,p12:1,202,3,True,done,True,helpful,True,False,False,False,False
state_7a1c7359989d9d74cc1b,helpful,False,"Taylor is feeling conflicted about meeting up with Nate, as she desires closure but is cautious.",Knowing that Taylor is conflicted about meeting Nate and desires closure but is cautious would help provide more tailored emotional support regarding her feelings about the wedding and potential encounter with Nate.,p2,p2:2,303,3,True,done,True,helpful,True,False,False,False,False
state_8a1c4cbd19c433681e1c,helpful,False,"Seeker is struggling with relationship issues due to differing career and future goals with his partner Jenny, causing frustration and uncertainty about their future together.",Knowing the specific ongoing relationship issues with Jenny and the emotional impact of these issues would help tailor emotional support to acknowledge these challenges and provide more relevant reassurance and guidance.,p17,p17:2,101,8,True,done,True,helpful,True,True,False,False,False
state_167ce1f68daa5eb1e2fe,helpful,False,"Charlotte is overwhelmed with stress at work after a poor performance review, leading them to consider job change for better work-life balance and to align more with their values and skills.","The historical context about Charlotte's ongoing work stress, poor performance review, and consideration of a job change provides helpful background to better understand her current feelings of anxiety and uncertainty about her career path and transition, which can improve the emotional support offered.",p12,p12:3,303,3,False,invalid,True,helpful,True,False,False,False,False
state_4e063f1c24da4af20ab9,helpful,False,"Amanda is struggling with anxiety due to multiple stressors, including a recent health scare, work promotion, family issues, and unresolved feelings about her ex's attempt to reconnect.","The current conversation mentions the seeker feeling overwhelmed and stressed about a major project and related anxiety symptoms. Knowing about Amanda's multiple stressors including a recent health scare, family issues, and unresolved feelings about her ex would help provide more tailored emotional support addressing the broader context of her anxiety and stress.",p16,p16:1,101,3,True,done,True,helpful,True,True,False,False,False
state_ea30f99985081e48c794,not_needed,True,,"The current conversation already provides detailed information about Kelly's emotional state, her struggles with decision-making about moving in with Matthew, and the impact on her appetite and focus. The seeker explicitly mentions feeling overwhelmed and anxious, and the supporter has asked for what feels most important to share, indicating sufficient context for emotional support without needing additional historical facts.",p15,p15:2,101,8,True,done,True,not_needed,False,False,False,False,False
state_480062916892fd7859be,helpful,False,"Seeker is anxious about changes in her friendship dynamics with Ann, particularly due to reduced social media interaction, although similar past situations were resolved as misunderstandings.","Knowing about the seeker's past anxiety related to social support and friendship dynamics, especially with Ann, would help provide more empathetic and tailored emotional support regarding feelings of overwhelm and unpredictability in her relationship and life.",p14,p14:2,202,8,True,done,True,helpful,True,True,False,False,False
state_c4e500c82fb5dd3b0e56,not_needed,True,,"The current conversation provides sufficient context about the seeker's anxiety about public speaking, their excitement about the opportunity, and their worries about nervousness affecting their message. The past sessions focus on different emotional challenges such as nostalgia, regret, relationships, and family issues, which are not directly relevant to the current emotional support need about public speaking anxiety.",p4,p4:1,202,8,True,done,True,not_needed,False,False,False,False,False
state_1bf0af71b094aee6cdc1,helpful,False,Charlotte is feeling overwhelmed at work and considering looking for a new job.,Knowing that Charlotte has previously expressed feeling overwhelmed at work and considering a job change would help provide more tailored emotional support regarding her current worries about the transition and career progression.,p12,p12:3,202,8,False,invalid,False,unverified,True,False,False,False,False
state_1c2db2b901295c471336,not_needed,True,,"The current conversation provides sufficient context about the seeker's feelings of being overwhelmed, stressed, anxious, and having trouble sleeping due to planning a weekend getaway for friends. The seeker also expresses a desire for reassurance and practical suggestions. The historical context, while rich, does not add necessary or helpful information specifically about this event planning stress and anxiety that would materially improve the emotional support response.",p3,p3:2,303,8,True,done,True,not_needed,False,False,False,False,False
state_1d9facea1b14e2becfaa,helpful,False,The seeker is also trying to balance stress from wedding planning and work rumors.,Knowing that the seeker is currently balancing stress from wedding planning and work rumors would help provide more tailored emotional support about managing multiple commitments alongside reconnecting with old friends.,p13,p13:1,101,8,True,done,True,helpful,True,False,False,False,False
state_35de4c03ceea3d30b4e2,helpful,False,"Seeker is debating whether to get a pet for Emily due to concerns about responsibility and his busy schedule, but acknowledges the potential benefits for her health and their family dynamic.","The historical context about the seeker's debate on getting a pet and concerns about responsibility and busy schedule would help provide more tailored emotional support regarding his current struggle balancing family, work, and pet responsibilities.",p5,p5:1,101,8,True,done,True,helpful,True,True,True,True,True
state_e2fb77f69c399ab8809f,helpful,False,"The seeker feels isolated and is experiencing back pain after moving for a new job, compounded by homesickness and stress from the work environment.","Knowing that the seeker has a history of isolation, back pain, and stress related to a new job and moving away from home would help provide more tailored emotional support addressing these ongoing challenges, which are relevant to his current anxieties about joining the wellness group and social fears.",p9,p9:1,202,8,True,done,True,helpful,True,True,False,False,False
state_f7d04b7ebcea6b72928f,helpful,False,The seeker is feeling overwhelmed at work and considering looking for a new job.,"Knowing that Charlotte is feeling overwhelmed at work and considering a job change would help provide more tailored emotional support about her career decision process, but the current conversation already provides some context about her re-evaluation and pros and cons list, so it is not strictly necessary.",p12,p12:3,303,8,True,done,True,helpful,True,False,False,False,False
state_1274df3ac670945fecf0,helpful,False,"The seeker is feeling overwhelmed by arguments with his manager about his paycheck and the stress of his mom's illness, leading him to feel helpless and unsupported.",Knowing about the seeker's ongoing struggles with his manager regarding paycheck issues and the stress from his mom's illness would help provide more tailored emotional support addressing his current feelings of mental exhaustion and decision fatigue.,p18,p18:1,303,3,True,done,True,helpful,True,True,False,False,False
state_d1bfe6fbdeddb064df22,helpful,False,I've been trying to enlist close friends for support. I've decided on specific boundaries and strategies to avoid uncomfortable conversations or situations.,"The current conversation mentions the seeker has decided on specific boundaries and strategies and is enlisting close friends for support, but does not detail what those boundaries or strategies are. Past sessions include detailed struggles with the ex, emotional challenges, and support systems, which could provide helpful context for more tailored guidance on managing emotions and boundaries at the wedding.",p2,p2:2,202,8,False,invalid,False,unverified,True,False,False,False,False
state_ce337e6ac0d082750570,helpful,False,"Amanda is feeling conflicted about her ex-boyfriend Bill reaching out and is unsure if she wants to rekindle the relationship, needing clarity and fearing potential heartache from past experiences.","This fact from the historical context provides useful background on Amanda's current emotional conflict and her need for clarity regarding Bill's recent contact, which can help tailor empathetic and relevant support beyond the immediate conversation.",p16,p16:2,101,8,True,done,True,helpful,True,True,False,False,False
state_6496c9e69ce2bb7f9473,helpful,False,"The seeker feels isolated and is experiencing back pain after moving for a new job, compounded by homesickness and stress from the work environment.","Knowing that the seeker has a history of isolation, back pain, and stress related to moving for a new job would help provide more empathetic and tailored support regarding his anxiety about joining a group wellness program, but the current conversation already mentions his social anxiety and health concerns, so this is not strictly necessary.",p9,p9:1,303,3,True,done,True,helpful,True,True,False,False,False
state_5995d11f3914014f832f,helpful,False,"Charlotte is overwhelmed by a falling out with a close friend who accused her of being distant, on top of ongoing work stress and long hours.","Knowing about Charlotte's past experience with a close friend accusing her of being distant and the associated emotional impact would help provide more tailored reassurance and encouragement as she considers joining a community group, addressing her anxiety about social skills and fear of judgment.",p12,p12:2,202,8,True,done,True,helpful,True,True,False,False,False
state_cfcae93388331248bac8,helpful,False,Nick is nervous about balancing current academic workload with newly suggested research opportunities from his professor while adjusting to a new major and extracurricular activities.,"This fact from the historical context provides useful background on Nick's ongoing concerns about balancing academic responsibilities and extracurricular activities, which can help tailor emotional support and advice about managing added responsibilities and maintaining balance.",p3,p3:1,101,8,True,done,True,helpful,True,True,False,False,False
state_7b1c8b620ded8f538e89,helpful,False,Emily struggles with increased workload without receiving a raise after her company doubled her responsibilities through an acquisition.,"The historical fact that Emily's workload increased without a raise after a company acquisition would help provide context to her current feelings of being overwhelmed at work and dealing with a heavier workload without a raise, enabling more tailored emotional support.",p10,p10:1,303,8,True,done,True,helpful,True,True,False,False,False
state_205d0e96e73efb0ceec6,not_needed,True,,"The current conversation provides sufficient context about the seeker's feelings of being overwhelmed after seeing his ex-girlfriend Jennifer, the emotional impact, and concerns about his current relationship with Emily. The historical context, while rich, does not add necessary or helpful information beyond what is already expressed in the current conversation for providing emotional support at this moment.",p8,p8:2,303,3,True,done,True,not_needed,False,False,False,False,False
state_caf8a8190c74a71662c3,helpful,False,Seeker is frustrated by her partner's unpredictable work schedule causing chaos and anxiety in her personal life.,"The historical context about the seeker's ongoing frustration with Dan's unpredictable work schedule and its impact on their life would help provide more tailored emotional support, as it adds depth to the current expression of feeling let down and stressed by his last-minute trips.",p14,p14:2,303,3,True,done,True,helpful,True,True,False,False,False
state_0c8b6f63cd9248075bc8,helpful,False,"I wish I could feel more confident and at ease about joining the wellness program. I want to be able to focus on the benefits it could bring to my health and well-being, rather than being consumed by my fears and anxieties. I wish I could just feel more prepared and less overwhelmed","The prior mention of the seeker's wish to feel more confident and less overwhelmed about joining the wellness program adds useful context to better address his current anxiety about participating in a group activity and fear of judgment, enabling more tailored emotional support.",p9,p9:1,101,8,False,invalid,True,not_needed,True,False,False,False,False
state_94aa211a46866d91fdb3,helpful,False,"Jessica, a close friend of the seeker, is moving away for a job.",Knowing that Jessica is moving away for a job and that this is a recent development causing the seeker's loneliness and anxiety would help provide more tailored emotional support addressing the specific impact of this change on the seeker.,p12,p12:2,202,3,True,done,True,helpful,True,False,False,False,False
state_db22d2c498fc000886f2,helpful,False,Education is very important in my family. My dad was a teacher so I’ve always had to live up to high expectations.,"This fact about the seeker's family valuing education highly and the father's profession as a teacher adds useful context to the seeker's fear of disappointing family and pressure to perform well academically, which can help tailor emotional support more empathetically.",p11,p11:1,303,8,True,done,True,helpful,True,True,False,False,False
state_ce63694b53376eb98c5b,helpful,False,Seeker is considering getting a pet for Emily with his partner Margaret.,Knowing that the seeker is considering getting a pet for Emily with Margaret and their reflections on the potential benefits and concerns would help provide more tailored emotional support about the mixed feelings and anxieties expressed in the current conversation.,p5,p5:1,303,3,True,done,True,helpful,True,False,False,False,False
state_d09891d2a2e5d18119c5,helpful,False,"Amanda is feeling conflicted about her ex-boyfriend Bill reaching out and is unsure if she wants to rekindle the relationship, needing clarity and fearing potential heartache from past experiences.",Knowing Amanda's prior conflicted feelings about Bill reaching out and her need for clarity and fear of heartache would help provide more tailored emotional support regarding her current overwhelming feelings and doubts about her decisions after seeing Bill again.,p16,p16:2,303,3,True,done,True,helpful,True,True,False,False,False
state_b78ebba825f33632d2e2,helpful,False,"Seeker is overwhelmed with stress at work after a poor performance review, leading them to consider job change for better work-life balance and to align more with their values and skills.","The historical fact that the seeker is overwhelmed with stress at work after a poor performance review and is considering a job change for better work-life balance and alignment with values would materially improve relevant emotional support by providing context on the seeker's ongoing work stress and motivation for the job offer decision, which is not fully detailed in the current conversation.",p12,p12:3,202,3,True,done,True,helpful,True,True,False,True,True
state_42f614e7df6f93ff53de,helpful,False,The seeker is overwhelmed with anxiety and sadness due to previous pregnancy losses and fears for her current pregnancy.,Knowing about the seeker's previous pregnancy losses and ongoing fears would help provide more empathetic and tailored emotional support for her current feelings of being overwhelmed and worried about her health and ability to care for her baby.,p14,p14:1,202,3,True,done,True,helpful,True,True,True,True,True
state_95842d5fdb802835301d,helpful,False,"Seeker is struggling with relationship issues due to differing career and future goals with his partner Jenny, causing frustration and uncertainty about their future together.","Knowing the specific nature of the relationship issues with Jenny, including career and future goal differences, would help tailor emotional support to address these concerns more effectively, even though the current conversation already mentions couples counseling and emotional vulnerability.",p17,p17:2,202,3,True,done,True,helpful,True,True,False,False,False
